"data","cidade","casos"
"2020-03-31","Macaé",1
"2020-03-31","Mangaratiba",0
"2020-03-31","Maricá",1
"2020-03-31","Miguel Pereira",0
"2020-03-31","Niterói",10
"2020-03-31","Nova Iguaçu",0
"2020-03-31","Petrópolis",1
"2020-03-31","Queimados",0
"2020-03-31","Resende",0
"2020-03-31","Rio Bonito",0
"2020-03-31","Rio das Ostras",0
"2020-03-31","Rio de Janeiro",33
"2020-03-31","Seropédica",0
"2020-03-31","São Gonçalo",2
"2020-03-31","São João de Meriti",0
"2020-03-31","São Pedro da Aldeia",1
"2020-03-31","Teresópolis",0
"2020-03-31","Valença",0
"2020-03-31","Volta Redonda",1
"2020-04-01","Angra dos Reis",0
"2020-04-01","Arraial do Cabo",1
"2020-04-01","Barra Mansa",0
"2020-04-01","Belford Roxo",1
"2020-04-01","Campos dos Goytacazes",0
"2020-04-01","Duque de Caxias",1
"2020-04-01","Guapimirim",0
"2020-04-01","Itaboraí",1
"2020-04-01","Macaé",0
"2020-04-01","Mangaratiba",0
"2020-04-01","Maricá",0
"2020-04-01","Miguel Pereira",0
"2020-04-01","Niterói",5
"2020-04-01","Nova Iguaçu",0
"2020-04-01","Petrópolis",0
"2020-04-01","Queimados",0
"2020-04-01","Resende",0
"2020-04-01","Rio Bonito",0
"2020-04-01","Rio das Ostras",1
"2020-04-01","Rio de Janeiro",111
"2020-04-01","Seropédica",0
"2020-04-01","São Gonçalo",2
"2020-04-01","São João de Meriti",1
"2020-04-01","São Pedro da Aldeia",0
"2020-04-01","Teresópolis",0
"2020-04-01","Valença",0
"2020-04-01","Volta Redonda",0
"2020-04-02","Angra dos Reis",0
"2020-04-02","Arraial do Cabo",0
"2020-04-02","Barra Mansa",0
"2020-04-02","Belford Roxo",0
"2020-04-02","Campos dos Goytacazes",0
"2020-04-02","Duque de Caxias",3
"2020-04-02","Guapimirim",0
"2020-04-02","Itaboraí",2
"2020-04-02","Itaguaí",1
"2020-04-02","Macaé",0
"2020-04-02","Magé",3
"2020-04-02","Mangaratiba",0
"2020-04-02","Maricá",1
"2020-04-02","Mesquita",1
"2020-04-02","Miguel Pereira",0
"2020-04-02","Niterói",1
"2020-04-02","Nova Iguaçu",1
"2020-04-02","Petrópolis",8
"2020-04-02","Queimados",0
"2020-04-02","Resende",0
"2020-04-02","Rio Bonito",0
"2020-04-02","Rio das Ostras",0
"2020-04-02","Rio de Janeiro",101
"2020-04-02","Seropédica",0
"2020-04-02","São Gonçalo",-1
"2020-04-02","São João de Meriti",1
"2020-04-02","São Pedro da Aldeia",0
"2020-04-02","Teresópolis",0
"2020-04-02","Valença",0
"2020-04-02","Volta Redonda",31
"2020-04-03","Angra dos Reis",0
"2020-04-03","Araruama",1
"2020-04-03","Arraial do Cabo",0
"2020-04-03","Barra Mansa",1
