"city","city_ibge_code","date","epidemiological_week","estimated_population","estimated_population_2019","last_available_confirmed","last_available_confirmed_per_100k_inhabitants","last_available_date","last_available_death_rate","last_available_deaths","new_confirmed","new_deaths"
"Guapimirim",3301850,"2020-03-23",13,61388,60517,1,1.62898,"2020-03-23",0,0,0,0
"Miguel Pereira",3302908,"2020-03-23",13,25581,25538,1,3.90915,"2020-03-23",1,1,0,0
"Niterói",3303302,"2020-03-23",13,515317,513584,10,1.94055,"2020-03-23",0.1,1,0,0
"Petrópolis",3303906,"2020-03-23",13,306678,306191,3,0.97822,"2020-03-23",0.3333,1,0,0
"Rio de Janeiro",3304557,"2020-03-23",13,6747815,6718903,212,3.14176,"2020-03-23",0.0047,1,44,1
"São Gonçalo",3304904,"2020-03-23",13,1091737,1084839,3,0.27479,"2020-03-23",0,0,3,0
"Barra Mansa",3300407,"2020-03-24",13,184833,184412,1,0.54103,"2020-03-24",0,0,0,0
"Campos dos Goytacazes",3301009,"2020-03-24",13,511168,507548,1,0.19563,"2020-03-24",0,0,1,0
"Duque de Caxias",3301702,"2020-03-24",13,924624,919596,1,0.10815,"2020-03-24",0,0,1,0
"Guapimirim",3301850,"2020-03-24",13,61388,60517,1,1.62898,"2020-03-24",0,0,0,0
"Miguel Pereira",3302908,"2020-03-24",13,25581,25538,1,3.90915,"2020-03-24",1,1,0,0
"Niterói",3303302,"2020-03-24",13,515317,513584,12,2.32866,"2020-03-24",0.0833,1,2,0
"Petrópolis",3303906,"2020-03-24",13,306678,306191,3,0.97822,"2020-03-24",0.3333,1,0,0
"Rio de Janeiro",3304557,"2020-03-24",13,6747815,6718903,276,4.09021,"2020-03-24",0.0109,3,64,2
"São Gonçalo",3304904,"2020-03-24",13,1091737,1084839,3,0.27479,"2020-03-24",0,0,0,0
"Volta Redonda",3306305,"2020-03-24",13,273988,273012,4,1.45992,"2020-03-24",0,0,4,0
"Barra Mansa",3300407,"2020-03-25",13,184833,184412,1,0.54103,"2020-03-25",0,0,0,0
"Campos dos Goytacazes",3301009,"2020-03-25",13,511168,507548,1,0.19563,"2020-03-25",0,0,0,0
"Duque de Caxias",3301702,"2020-03-25",13,924624,919596,2,0.2163,"2020-03-25",0,0,1,0
"Guapimirim",3301850,"2020-03-25",13,61388,60517,1,1.62898,"2020-03-25",0,0,0,0
"Miguel Pereira",3302908,"2020-03-25",13,25581,25538,1,3.90915,"2020-03-25",1,1,0,0
"Niterói",3303302,"2020-03-25",13,515317,513584,19,3.68705,"2020-03-25",0.0526,1,7,0
"Petrópolis",3303906,"2020-03-25",13,306678,306191,3,0.97822,"2020-03-25",0.3333,1,0,0
"Resende",3304201,"2020-03-25",13,132312,131341,1,0.75579,"2020-03-25",0,0,1,0
"Rio de Janeiro",3304557,"2020-03-25",13,6747815,6718903,331,4.90529,"2020-03-25",0.0151,5,55,2
"São Gonçalo",3304904,"2020-03-25",13,1091737,1084839,3,0.27479,"2020-03-25",0,0,0,0
"Valença",3306107,"2020-03-25",13,76869,76523,1,1.30091,"2020-03-25",0,0,1,0
"Volta Redonda",3306305,"2020-03-25",13,273988,273012,6,2.18988,"2020-03-25",0,0,2,0
"Barra Mansa",3300407,"2020-03-26",13,184833,184412,1,0.54103,"2020-03-26",0,0,0,0
"Belford Roxo",3300456,"2020-03-26",13,513118,510906,1,0.19489,"2020-03-26",0,0,1,0
"Campos dos Goytacazes",3301009,"2020-03-26",13,511168,507548,1,0.19563,"2020-03-26",0,0,0,0
"Duque de Caxias",3301702,"2020-03-26",13,924624,919596,2,0.2163,"2020-03-26",0,0,0,0
"Guapimirim",3301850,"2020-03-26",13,61388,60517,1,1.62898,"2020-03-26",0,0,0,0
"Miguel Pereira",3302908,"2020-03-26",13,25581,25538,1,3.90915,"2020-03-26",1,1,0,0
